2025-11-03 05:01:14: <strong style='color:DarkRed'>Лог был очищен. (Trust).</strong><br />
2025-11-03 05:01:21: <strong style='color:DarkBlue'>Пользователь Trust вышел из системы.</strong><br />
2025-11-08 01:43:56: <strong style='color:DarkGreen'>Вход в систему (Trust).</strong><br />
2025-11-08 01:44:02: <em style='color:DarkMagenta'>Страница поднята вверх. (Trust).</em><br />
2025-11-08 01:44:07: <em style='color:DarkMagenta'>Страница поднята вверх. (Trust).</em><br />
2025-11-08 01:54:30: <em style='color:DarkMagenta'>Страница поднята вверх. (Trust).</em><br />
2025-11-08 01:54:33: <em style='color:DarkMagenta'>Страница поднята вверх. (Trust).</em><br />
2025-11-08 02:01:10: <em style='color:DarkMagenta'>Страница поднята вверх. (Trust).</em><br />
2025-11-08 02:01:14: <em style='color:DarkMagenta'>Страница поднята вверх. (Trust).</em><br />
2025-11-08 02:01:34: <em style='color:DarkMagenta'>Страница поднята вверх. (Trust).</em><br />
2025-11-08 02:01:56: <em style='color:DarkMagenta'>Страница поднята вверх. (Trust).</em><br />
2025-11-08 02:21:12: <em style='color:DarkMagenta'>Страница поднята вверх. (Trust).</em><br />
2025-11-08 03:11:52: <strong style='color:DarkGreen'>Вход в систему (Trust).</strong><br />
